YEAR,DATE,EVENT_LEVEL,EVENT_TYPE,DRAW_SIZE,ROUND,BESTOF,SURFACE,WINNER_NAME,LOSER_NAME
2025,2024-12-29,A,250,32,R32,3,Hard,Novak Djokovic,Rinky Hijikata
2025,2024-12-29,A,250,32,R32,3,Hard,Frances Tiafoe,Adam Walton
2025,2024-12-29,A,250,32,R32,3,Hard,Giovanni Mpetshi Perricard,Nick Kyrgios
2025,2024-12-29,A,250,32,R32,3,Hard,Gael Monfils,Nishesh Basavareddy
2025,2024-12-29,A,250,32,F,3,Hard,Jiri Lehecka,Reilly Opelka
2025,2024-12-29,A,250,32,R32,3,Hard,Aleksandar Vukic,David Goffin
2025,2024-12-29,A,250,32,R32,3,Hard,Yoshihito Nishioka,Arthur Rinderknech
2025,2024-12-29,A,250,32,QF,3,Hard,Jiri Lehecka,Nicolas Jarry
2025,2024-12-29,A,250,32,R16,3,Hard,Giovanni Mpetshi Perricard,Frances Tiafoe
2025,2024-12-29,A,250,32,R16,3,Hard,Jakub Mensik,Dusan Lajovic
2025,2024-12-29,A,250,32,QF,3,Hard,Grigor Dimitrov,Jordan Thompson
2025,2024-12-29,A,250,32,R32,3,Hard,Jiri Lehecka,Holger Rune
2025,2024-12-29,A,250,32,R32,3,Hard,Grigor Dimitrov,Yannick Hanfmann
2025,2024-12-29,A,250,32,R32,3,Hard,Benjamin Bonzi,Alejandro Tabilo
2025,2024-12-29,A,250,32,R16,3,Hard,Novak Djokovic,Gael Monfils
2025,2024-12-29,A,250,32,R32,3,Hard,Jordan Thompson,Matteo Berrettini
2025,2024-12-29,A,250,32,R16,3,Hard,Nicolas Jarry,Benjamin Bonzi
2025,2024-12-29,A,250,32,QF,3,Hard,Reilly Opelka,Novak Djokovic
2025,2024-12-29,A,250,32,QF,3,Hard,Giovanni Mpetshi Perricard,Jakub Mensik
2025,2024-12-29,A,250,32,R16,3,Hard,Jiri Lehecka,Yoshihito Nishioka
2025,2024-12-29,A,250,32,R32,3,Hard,Alex Michelsen,Christopher O'Connell
2025,2024-12-29,A,250,32,R16,3,Hard,Reilly Opelka,Matteo Arnaldi
