player_A_name,player_A_rank,player_A_rank_points,player_A_hand,player_A_age,player_A_ht,player_B_name,player_B_rank,player_B_rank_points,player_B_hand,player_B_age,player_B_ht,player_A_odds,player_B_odds,player_A_clay,player_A_grass,player_A_hard,player_B_clay,player_B_grass,player_B_hard
Marcos Giron,50,1000,R,32,180,Ethan Quinn,81,773,R,21,191,99,99,180,90,190,165,155,815
Cameron Norrie,34,1397,L,30,188,Yi Zhou,304,170,R,20,193,99,99,450,400,1155,0,0,0
Quentin Halys,75,806,R,28,191,"Christopher OConnell",103,619,R,31,183,99,99,155,50,230,155,120,580
Zizou Bergs,46,1089,R,26,185,Juncheng Shang,138,460,L,20,180,99,99,0,0,285,130,350,1045
Lorenzo Sonego,44,1090,R,30,191,Juan Manuel Cerundolo,72,829,L,23,183,99,99,495,0,0,115,290,915
Filip Misolic,92,671,R,24,180,Giovanni Mpetshi Perricard,36,1275,R,22,203,99,99,315,10,0,155,75,1095
Alexander Shevchenko,96,652,R,24,188,Gael Monfils,52,975,R,39,193,99,99,320,10,180,135,85,945
Terence Atmane,70,852,L,23,193,Dino Prizmic,121,536,R,20,188,99,99,90,0,10,75,0,385
Aleksandar Kovacevic,69,862,R,27,183,Luca Nardi,85,740,R,22,185,99,99,140,30,775,55,10,320
Mariano Navone,82,770,R,24,178,Learner Tien,54,945,L,19,180,99,99,105,180,1525,525,45,285
Adrian Mannarino,53,947,L,37,180,Yibing Wu,196,272,R,25,183,99,99,45,135,560,0,0,75
Adam Walton,76,803,R,26,183,Sebastian Korda,79,795,R,25,196,99,99,90,30,500,250,0,760
Aleksandar Vukic,93,668,R,29,188,David Goffin,87,734,R,34,180,99,99,65,105,520,145,10,405
Yunchaokete Bu,74,811,R,23,185,Zhizhen Zhang,192,275,R,28,193,99,99,115,30,475,0,0,255
Damir Dzumhur,68,868,R,33,175,Tomas Martin Etcheverry,63,890,R,26,196,99,99,790,50,100,530,140,380
Arthur Cazaux,84,757,R,23,183,Matteo Arnaldi,73,825,R,24,185,99,99,510,45,270,370,30,590
